media_name,publish_date,title,url,body
npr.org,1/3/2020,"1 Month Before Iowa Caucuses, Voters Remain Undecided",https://www.npr.org/2020/01/03/793440755/1-month-before-iowa-caucuses-voters-remain-undecided?utm_medium=RSS&utm_campaign=allthingsconsidered,"The Iowa caucuses are one month from Friday. The candidates are campaigning frantically, and it's clear that many voters' minds are far from made up. Sponsor Message"
npr.org,1/6/2020,The Trump Impeachment Wars Are About To Heat Back Up,https://www.npr.org/2020/01/06/793140611/the-trump-impeachment-wars-are-about-to-heat-back-up?ft=nprml&f=,"Enlarge this image Senate Majority Leader Mitch McConnell, R-Ky., at the Capitol on Friday. Tasos Katopodis/Getty Images hide caption toggle caption Tasos Katopodis/Getty Images Senate Majority Leader Mitch McConnell, R-Ky., at the Capitol on Friday. Tasos Katopodis/Getty Images Last month, the House of Representatives voted for only the third time in history to impeach the president. Then something else unusual happened: Nothing. President Trump, members of Congress, much of Washington and millions of Americans effectively pushed pause on a once-in-a-generation political saga to take off for the holidays. So for those just tuning back in for the first full workweek of 2020, nothing substantive has changed in the story — but that also means the coming month may churn into a whirlwind. House Speaker Nancy Pelosi, D-Calif., still must transmit the articles of impeachment adopted on Dec. 18 to Senate Majority Leader Mitch McConnell, R-Ky. Sponsor Message Loading... And Pelosi also must announce which lawmakers will cross over to the other side of the Capitol and make the case against Trump as ""impeachment managers"" before a jury comprising the 100 members of the Senate. But the speaker has said she won't send McConnell the articles or name managers until she's confident about the nature of the process that will take place in the Senate, which is itself still subject to negotiations between McConnell and Senate Minority Leader Chuck Schumer, D-N.Y. The White House also has yet to name a team of attorneys to defend Trump. Witnesses and procedures Schumer and Democrats want to hear from witnesses in the Senate trial, including top administration officials who could talk about what they and Trump did in the Ukraine affair last year. In remarks on the Senate floor Friday, McConnell said the trial should follow precedent set with President Clinton's impeachment trial two decades ago, and that ""midtrial questions"" like witnesses should be considered after opening arguments and questions from senators. The majority leader added that if Democrats want more evidence in the record, they should have done a better job under Pelosi in the House. ""As House Democrats continue their political delay, they're searching desperately for some new talking points to help them deflect blame for what they've done,"" McConnell said. Sponsor Message Pelosi responded by accusing McConnell of ""feebly"" complying with Trump's ""cover-up"" of his ""abuses of power."" Schumer also said Friday it appeared the two sides were no closer to reaching an agreement on how a Senate trial would proceed. Republicans control the majority in the Senate and are expected to permit Trump to retain his office. Enlarge this image Senate Minority Leader Chuck Schumer, D-N.Y., walks from the Senate chamber at the U.S. Capitol on Friday. Tasos Katopodis/Getty Images hide caption toggle caption Tasos Katopodis/Getty Images Senate Minority Leader Chuck Schumer, D-N.Y., walks from the Senate chamber at the U.S. Capitol on Friday. Tasos Katopodis/Getty Images But the way that's done, and how quickly, isn't settled. If a small number of Republicans were to join Democrats in voting to request witnesses or other measures that McConnell opposes, an impeachment trial could reveal new facts that might embarrass the administration even if it doesn't face oblivion. Rules of the road Republican senators don't agree on exactly how a trial for Trump should run. Some of them haven't closed the door to witnesses. Others have suggested that Senate investigators might take depositions from witnesses behind closed doors. And although McConnell has promised to keep in lockstep with Trump and the White House about procedure because he doesn't feel obliged to be objective, that hasn't sat well with a handful of his own members. Alaska Sen. Lisa Murkowski and Maine Sen. Susan Collins , for example, have said they take their responsibilities as jurors seriously and don't want to pre-judge an impeachment case or be seen as a rubber stamp for the White House. Speaking on ABC's This Week on Sunday, Schumer seemed to deliver a message directly to certain GOP senators: ""I hope, pray and believe there's a decent chance that four Republicans will join us,"" he said. ""If they do, we will have a fair trial."" Meanwhile, the underlying facts about the Ukraine affair have continued to evolve in press reports since last month. Politics Tracing The Roots Of A Partisan Impeachment The New York Times detailed efforts by top administration officials to persuade Trump to unfreeze the military assistance to Ukraine that was blocked for a number of weeks last year. Trump wanted Ukraine's government to launch investigations he thought might help him in the 2020 election; Democrats charge the hold on $391 million in aid was attempted extortion. The website Just Security also revealed messages between the Defense Department and the Office of Management and Budget that appeared to make clear the freeze on assistance was taking place at Trump's direction. Sponsor Message Schumer has argued those documents mean Republicans must agree to witnesses and a fair trial, ""not a rigged process that enables a cover-up."" Political warfare With the outcome of the Senate trial likely foreordained — Republicans use their majority to preserve Trump in office — both parties want to use the process most effectively for their political ends while it's running. Trump goes back and forth about his objectives. One thing he and supporters have said is they see an opportunity to use what began as an impeachment of Trump as an impeachment of former Vice President Joe Biden and his family. Trump and aides sought an investigation in Ukraine involving Biden's son Hunter's tenure on the board of a Ukrainian gas company and Republicans have relished the opening to attack both father and son. Trump's Republican support in Congress appears unbreakable. No Republicans voted to impeach him in the House and even if one or two senators were to join Democrats, it's ""inconceivable"" that the requisite 20 Republicans might break ranks, McConnell has said. If that holds as expected, Trump and supporters have the time they'll control in the Senate trial to use in whichever ways make most sense to them politically without fear about the outcome. Democrats are examining the trial through an inverse lens: Knowing they can't remove him, how much political damage, they wonder, can they do to Trump? Pelosi echoed Schumer in arguing that the press reports since the impeachment vote have further strengthened the case for it: Not only are facts about the president's actions further established, his refusal to produce witnesses or documents is all the more unacceptable, they argue. To the degree that Schumer and Democrats can tease out more facts about the Ukraine affair, they could try to sustain press and public interest and attempt to go on hurting Trump politically, even if they can't ultimately eject him. Sponsor Message All the same, the world will continue to turn; Pelosi implicitly acknowledged the limits of her own efforts by inviting Trump to deliver the State of the Union address in early February even as the impeachment story line wore on. Presidents traditionally use that annual speech to outline priorities and preview their budget proposals for the coming year, so the speaker's invitation suggests she expects Trump and the administration will endure. Also, the presidential race likely will continue unabated, with the awkward reality that several Democratic candidates — the Senate includes Elizabeth Warren of Massachusetts, Bernie Sanders of Vermont, Amy Klobuchar of Minnesota, Cory Booker of New Jersey and Michael Bennet of Colorado — will need to break away from campaigning to be present in Washington for Trump's trial."
npr.org,1/14/2020,Iowa's Howard County Vote Reflects Swing From Obama To Trump,https://www.npr.org/2020/01/14/796160545/iowas-howard-county-vote-reflects-swing-from-obama-to-trump?utm_medium=RSS&utm_campaign=national,"Across the country, dozens of counties voted for President Obama and then in 2016 elected President Trump. In Iowa, almost one-third of the state's counties flipped from Obama to Trump. Sponsor Message"
npr.org,1/16/2020,Ukraine To Investigate If Former U.S. Ambassador Was Tracked By Giuliani Associates,https://www.npr.org/2020/01/16/797098383/ukraine-to-investigate-if-former-u-s-ambassador-was-tracked-by-giuliani-associat?utm_medium=RSS&utm_campaign=world,Ukraine will investigate whether the former American ambassador to Ukraine was illegally surveilled. NPR's Mary Louise Kelly talks with Matthew Kupfer of the Kyiv Post about the inquiry. Sponsor Message
npr.org,1/18/2020,Barbershop: Warren Vs. Sanders,https://www.npr.org/2020/01/18/797631331/barbershop-warren-vs-sanders?utm_medium=RSS&utm_campaign=national,"NPR's Michel Martin talks about the disagreement that's emerged between Senators Elizabeth Warren and Bernie Sanders with journalists Connie Schultz, Clare Malone and Melanye Price. Sponsor Message"
npr.org,1/21/2020,NPR Poll: Majority Of Americans Believe Trump Encourages Election Interference,https://www.npr.org/2020/01/21/797101409/npr-poll-majority-of-americans-believe-trump-encourages-election-interference?ft=nprml&f=,"Enlarge this image Marcus Marritt for NPR Marcus Marritt for NPR Weeks before the first votes of the 2020 presidential election, Americans report a high level of concern about how secure that election will be and worry about the perils of disinformation, according to a new NPR/PBS NewsHour/Marist Poll . Forty-one percent of those surveyed said they believed the U.S. is not very prepared or not prepared at all to keep November's election safe and secure. Loading... Don't see the graphic above? Click here. Reflecting the polarization of the Trump era, two-thirds of Democrats think the country isn't prepared, while 85% of Republicans said they think it is. ""Like so many issues, Americans view election security from opposite poles of the partisan divide,"" said Lee Miringoff, director of the Marist College Institute for Public Opinion, which conducted the poll. President Trump, who has often disputed the U.S. intelligence community's assessment that Russia interfered with the 2016 presidential election, gets low marks from many voters on his handling of election security. Driven by Democrats and independents, 56% of those surveyed think Trump has not done very much or has done nothing at all to make sure there will be no future election interference — although 75% of Republicans think he has done enough. ""I can trust [Trump's] word to know that he is going to try as best as he can ... in order to stop influence from foreign countries in our elections,"" said first-time voter Joel Martin, a Republican from California. Sponsor Message Martin and other respondents were contacted by NPR for follow-up interviews after they had given their initial responses to questions from Marist pollsters. Trump faces an impeachment trial this month tied directly to his efforts to get Ukraine to launch an investigation into one of his potential 2020 rivals, former Vice President Joe Biden. And despite the scrutiny and criticism of his actions with respect to Ukraine, Trump also said in October that China should ""start an investigation into the Bidens."" Remarks like those may have been on the mind of the 51% of the Americans surveyed who said Trump had encouraged election interference. Eighty-eight percent of Democrats and 51% of independents backed that assertion. ""I considered the attack on our electoral system to be the single biggest assault on United States sovereignty since Pearl Harbor,"" said poll participant Dimitri Laddis, an independent voter from New York. ""The fact that the commander in chief has done nothing to reassure us that we are safe from such an attack — and the fact that he seems to be keenly aware that he benefits from outside forces having influence over our elections — is very disheartening,"" Laddis said. Although there is no evidence that any votes were changed by a foreign power in 2016 or 2018, almost 4 in 10 Americans surveyed said they believe it is likely another country will tamper with the votes cast in 2020 in order to change the result. Sponsor Message The poll's results also paint a picture of a polarized electorate wary about what it reads and not fully convinced that elections are fair. In a reflection of how divided the country is, only 62% of Americans said U.S. elections are fair. Barely half of Democrats agree with that sentiment, perhaps a reflection of lingering unhappiness that Donald Trump won the 2016 election by capturing the Electoral College while losing the popular vote. And even as Trump has continued to claim without evidence that millions of votes were cast illegally in 2016, 80% of Republicans surveyed reported that they believe elections are fair. ""Many Americans think election cycles are no longer on the up and up,"" said Miringoff, the Marist director. ""These opinions are a troublesome sign about this keystone of our democracy."" Disinformation Intelligence and elections officials work hard to reassure voters about the integrity of the system, but there is concern about the effect of disinformation in the political discourse. False, misleading and agitating material were a big part of Russia's active measures in 2016. Loading... Don't see the graphic above? Click here. Americans retain concerns about this today; 59% of those surveyed reported that it is hard to tell the difference between what is factual and what is misleading information. Despite nearly four years' worth of attention to disinformation, 55% of Americans say it will be harder to identify deceptive information than it was in 2016. Eighty-two percent of those surveyed said they believe they will read misleading information on social media and a similar proportion believe foreign countries will spread false information about candidates this year. The public does not trust big social network and tech companies to prevent their platforms from being misused to present election interference, the poll revealed. Seventy-five percent of those surveyed are not confident about the tech companies, a 9-point increase from a similar 2018 NPR/Marist poll . Despite casting blame on tech companies for spreading disinformation, there was little consensus on who should be most responsible for reducing its flow: 39% pointed to the media, 18% to tech companies, 15% to the government and 12% to the public itself. Sponsor Message Not surprisingly given Trump's oft-repeated claim that the media peddles in ""fake news,"" 54% of Republicans say it's the media's responsibility to stop the spread of disinformation. Voting rights and election administration Americans who responded to the poll were divided about what they considered the biggest threat to the election — 35% said disinformation is the biggest threat; 24% blamed voter fraud; 16% said voter suppression; 15% blamed foreign interference. In yet another sign that voters live in very different media bubbles, voter suppression was cited as the greatest threat for Democrats. Voter fraud topped the list for Republicans. Independents were most concerned with misleading information. By an overwhelming margin, Americans said they found voting to be easy, and most have not encountered problems with confusing ballots, problems with their voter ID or registration or broken voting machines. But more than a third of younger and nonwhite voters say they have experienced long lines. Moreover, women and nonwhite respondents are considerably more likely than men and white voters to say that their own vote won't be counted. And half of women and slightly more than half of nonwhite respondents said many votes will not be counted, in contrast to men and white Americans, who are more confident that all ballots will be tallied. Loading... Don't see the graphic above? Click here. ""People are trying to redline the country to stop different ethnic groups from voting,"" said Larry Swoffard, an African American poll respondent from California. Local election officials get relatively high marks from voters, with 68% expressing confidence that officials will run a fair election in 2020. Nearly 6 in 10 respondents say they plan to vote in person on Election Day. Twenty-three percent say they will vote by mail or absentee ballot. Another 18% said they would cast their ballot at an early voting site. NPR's Domenico Montanaro and Lexie Schapitl contributed reporting to this story. The phone survey of 1,259 adults was conducted by the Marist College Institute for Public Opinion between Jan. 7 and Jan. 12. It has a margin of error of 3.5 percentage points when adults are referenced and 3.8 percentage points when registered voters are referenced."
npr.org,1/22/2020,Biden And Sanders Amp Up Criticism As Polls Show Them Separating From Field,https://www.npr.org/2020/01/22/798581394/biden-and-sanders-amp-up-criticism-as-polls-show-them-separating-from-field?ft=nprml&f=,"Enlarge this image Former Vice President Joe Biden, left, and Vermont Sen. Bernie Sanders participate in a Democratic presidential primary debate in Des Moines, Iowa, on Jan. 14. The two septuagenarians have sparred in recent days about Social Security. Robyn Beck/AFP via Getty Images hide caption toggle caption Robyn Beck/AFP via Getty Images Former Vice President Joe Biden, left, and Vermont Sen. Bernie Sanders participate in a Democratic presidential primary debate in Des Moines, Iowa, on Jan. 14. The two septuagenarians have sparred in recent days about Social Security. Robyn Beck/AFP via Getty Images Former Vice President Joe Biden is defending his record on Social Security, amid increased criticism from the campaign of Vermont Sen. Bernie Sanders, which has repeatedly pointed to Biden's willingness as a U.S. senator to back spending freezes for Social Security and other entitlement programs. The candidates' back-and-forth culminated — as most disputes in modern presidential campaigns do — in dueling Twitter posts Tuesday night. ""Let's be honest, Joe,"" Sanders' campaign account wrote . ""One of us fought for decades to cut Social Security, and one of us didn't."" The tweet included a clip from a speech Biden delivered in the mid-1990s, saying, ""When I argued that we should freeze federal spending, I meant Social Security as well. I meant Medicare and Medicaid. I meant veterans' benefits. I meant every single solitary thing in the government. And I not only tried it once — I tried it twice, I tried it a third time, and I tried it a fourth time."" Sponsor Message Let’s be honest, Joe. One of us fought for decades to cut Social Security, and one of us didn’t. But don’t take it from me. Take it from you. pic.twitter.com/qh7qb1Hmcl — Bernie Sanders (@BernieSanders) January 22, 2020 Biden, who served decades as a Delware senator, responded on his own account, writing : ""I've been fighting to protect — and expand — Social Security for my whole career. Any suggestion otherwise is just flat-out wrong."" For years Biden expressed worries about the ever-increasing federal debt, and repeatedly signaled he'd look at so-called ""entitlements"" —  Social Security, Medicare and Medicaid — along with other government spending in order to rein in the debt. But Biden reiterated in a Wednesday morning TV interview that as president he'd focus on raising new revenue, rather than any freezes or cuts, in order to address Social Security's long-term viability. I've been fighting to protect — and expand — Social Security for my whole career. Any suggestion otherwise is just flat-out wrong. pic.twitter.com/KWIIJgFqGk — Joe Biden (@JoeBiden) January 22, 2020 The intraparty feud comes less than two weeks before the Iowa caucuses, and as national polls out Wednesday show Biden and Sanders are solidifying their holds as the two strongest candidates in the Democratic presidential field. A CNN survey finds Sanders and Biden 10 points ahead of their closest competitor, and a Monmouth University poll showed a similar gap. (Sanders leads in CNN's survey, while Biden is ahead in Monmouth's. The two are leading in the Iowa polling average as well.) Sanders isn't the only one digging up positions and speeches from the 1990s. Biden, like Hillary Clinton in 2016, is criticizing Sanders' earlier votes against gun control measures. Pulling out snippets from decades-old speeches on Social Security, Biden told MSNBC Wednesday , is ""like my going back and pointing out how — how Bernie voted against the Brady Bill five times. ... Or how he voted to, you know, protect gun manufacturers. It's the only group in America you can't sue. I mean, he's made up for that. He's indicated that was past."" Sponsor Message Sanders did repeatedly vote against the Brady Bill, which when passed implemented background checks and other measures, but also voted for a federal assault weapons ban, and many other gun control measures. ""Way back in 1988, before it was fashionable, I ran for the United States Congress in Vermont, and I probably lost that election because I believed then that assault weapons should be banned,"" Sanders told the NPR Politics Podcast this summer. That the criticisms — a couple videos posted to social media accounts, and a handful of statements from campaign staffers and the candidates — count as a significant escalation is itself a sign of how relatively tame and friendly the 2020 Democratic primary has been so far. These barbs aren't coming via paid TV ads. And Biden and Sanders have stood near each other at six debates but have largely refrained from any direct confrontations, other than Sanders' repeated criticisms of Biden's vote to authorize the 2003 Iraq war. Despite hints from Sanders' campaign that he'd attack Biden over Social Security at the most recent debate , the confrontation never happened. Enlarge this image From left: Democratic presidential candidates Hawaii Rep. Tulsi Gabbard, Biden, Minnesota Sen. Amy Klobuchar, Massachusetts Sen. Elizabeth Warren and Sanders march to the King Day at the Dome event on Monday in Columbia, South Carolina. Sean Rayford/Getty Images hide caption toggle caption Sean Rayford/Getty Images From left: Democratic presidential candidates Hawaii Rep. Tulsi Gabbard, Biden, Minnesota Sen. Amy Klobuchar, Massachusetts Sen. Elizabeth Warren and Sanders march to the King Day at the Dome event on Monday in Columbia, South Carolina. Sean Rayford/Getty Images The Democratic field has vowed to unite once a nominee is named, and do everything they collectively can to defeat President Trump. On Monday, Sanders, Biden, Massachusetts Sen. Elizabeth Warren and other candidates all walked arm-in-arm at a South Carolina march honoring Martin Luther King Jr. Still, the debate over Social Security will likely amplify over the next week-and-a-half, as Biden and Sanders each campaign in the final stretch before the Feb. 3 Iowa caucuses. Sanders' line of criticism isn't new. When Sanders shot to national prominence in 2010 with an eight-hour speech criticizing a tax compromise orchestrated by Biden, Sanders warned that a portion of the agreement — a temporary cut in Social Security payroll taxes — could lay the groundwork for eventual cuts to the program. Sponsor Message ""This is a very dangerous step forward for those of us who believe in Social Security,"" he said at the time. Politics 'The Speech': How Sanders' 2010 Filibuster Elevated His Progressive Profile Elections For Joe Biden, 1987 Brought Triumph In The Wake Of Political Setback Sanders has long made iron-clad commitments to increasing, rather than freezing or cutting, entitlements like Social Security, Medicare and Medicaid a key part of his political brand. Biden, like many other Democratic politicians, has long warned about the long-term health of Social Security. But speaking to MSNBC Wednesday, he reiterated that he views the solution as increasing the money going into the program, rather than cutting or freezing the benefits. ""If everyone above $400,000 pays the same amount, or the same percentage in income as you do when you're making $100,000, we're solving — my grandkids are set. I'm able to increase Social Security payments for the two groups I mentioned,"" Biden told Morning Joe."
npr.org,1/25/2020,Bernie Sanders' Hallmark Rally Strategy,https://www.npr.org/2020/01/25/799470782/bernie-sanderss-hallmark-rally-strategy?utm_medium=RSS&utm_campaign=weekendeditionsaturday,"The senator and Democratic presidential hopeful designs his rallies with a loose, homemade feel. Sponsor Message"
npr.org,1/24/2020,"News Brief: Impeachment Trial, March For Life, Weinstein Trial",https://www.npr.org/2020/01/24/799163506/morning-news-brief?utm_medium=RSS&utm_campaign=morningedition,"Democratic House impeachment managers will conclude opening arguments in the Senate trial. Trump to address March For Life Rally. And, an actress testifies that Harvey Weinstein raped her. Sponsor Message"
npr.org,1/1/2020,"News Brief: U.S. Embassy Stormed, North Korea, 2020 Politics",https://www.npr.org/2020/01/01/792821101/news-brief-u-s-embassy-north-korea-2020-politics?utm_medium=RSS&utm_campaign=morningedition,"The U.S. sends reinforcements to Iraq after the Embassy is attacked. North Korea's leader says he's no longer bound by a nuclear missile moratorium. And, 2020 promises plenty of political headlines. Sponsor Message"
